境内人士	1400
好的，谢谢	700
境内的	600
国内产品	500
国内的	300
还有其他方式吗	200
都想参观	200
一个采购商证可以帮两个境内人士办理采购商代表证对吧？	200
这两位境内人士办证需要什么材料？	200
好的，谢谢！	200
采购商	200
我是境内的为什么需要境外的证件？	200
都有可能	200
中山富达运动器材有限公司	200
"客户是老外，还有两个中国人,相当于翻译吧,相当于翻译吧,这么理解吧,这么理解吧"	200
"恩,是的,是的"	200
洛阳今丰	200
一个外商可以带几个	200
"好的,市民怎么申请参观？,市民怎么申请参观？"	200
广交会	200
"境内,广东,广东"	200
就是参观?都想看看	200
个人的话不能参观嘛	200
"不认识怎么办？,就是参观?,就是参观?"	200
市民参观不了嘛	200
"如果有外商带着需要办证吗？,都没有,都没有"	200
"明天再办来得及吗？,我是想明天去,我是想明天去"	200
好的，我问过一些代理商，为什么要收500块啊？	200
好，谢谢	200
没有呢	200
普通商户可以入场参观么	200
我们是东莞的	100
哦，好的谢谢	100
哦，境内的只能通过这种方式进去吗？	100
哦，我们也有厂，但是现在没计划参展，只是想先看看	100
"那除了上面说的那种方式，只有参展的才能进去吗？,境内的,境内的"	100
没有我这里是工厂仅仅想要参观一下因为我们有想做出口的打算想先了解一下	100
噢好的只有这一种办法是吗	100
好的那时间是？	100
家具属于“家居装饰品类”吗？	100
第二期：春：4月23-27日??秋：10月23-27日?这个是吗	100
"境内的，,内蒙古赤峰的，,内蒙古赤峰的，"	100
"没有，,只有中国居民身份证,只有中国居民身份证"	100
赤峰华强五金销售部	100
国内，国外的都想采购，	100
原来没做过进口产品，没有认识的境外采购商，怎么办，	100
如果就采购国内的产品呢，	100
"怎么参观,怎么办参观证,怎么办参观证"	100
没有啊	100
"还有别的方式没有,我们是从外地专门过来看展会的"	100
之前在网上说可以凭名片参观	100
那我们这怎么参观啊	100
"那没有业务往来的已经办理好境外采购商证的境外客商,怎么办,怎么办"	100
我想去看展览，但是进不去	100
个人参观展会怎么购票？	100
怎么办证？	100
没有了，有需要在麻烦您，谢谢	100
我想咨询一下，广交会春节第一场最后的参展时间是什么呢？	100
个人可以买票进去观展吗？	100
我是境内人士还需要境外客商带着才能保证？	100
国内商品、是	100
网上没法办理吗	100
"是的,就是国内的企业，它并没有做出口，但想来参观,就是国内的企业，它并没有做出口，但想来参观"	100
"是境内的呀，不是境外的,就是中国人去参观需要什么手续？,就是中国人去参观需要什么手续？"	100
您好，请问个人参展需要什么证件吗	100
联系不到啊……	100
啊……境内采购商独自不可以去吗	100
噢好的谢谢，没有了	100
请问第一次进去参观需要什么资料办证	100
噢?要和外商现场办理?	100
b区有最近的办理点吗？	100
会不会要排很久的队	100
请问参加第三期展会需要准备什么证件吗？	100
是的，公司派代表参观	100
境内的需要境外的工作证吗？	100
没有境外工作签证和永久居住证件，北京人，中国公民	100
好的，明白	100
没有了，谢谢	100
"没有,我们是贸易公司，境内采购商,我们是贸易公司，境内采购商"	100
那我们还有什么办法可以办入场证呢	100
那是不是直接有境外采购商带我们去办理就可以当天进入呢？	100
必须是已经办理好境外采购商证的境外客商吗？如果是境外展商呢？	100
哦这样，那有境外采购商带领去的话，办理地址在哪里？	100
怎么办理入场证	100
境内人士，怎么办理	100
深圳宏泽兴电子商务有限公司	100
不可以自己办理证件吗	100
"是的,可以办理吗,可以办理吗"	100
必须是参展商吗？	100
