境内人士,1400,抱歉。请问与会人员有一年以上有效境外工作签证或者境外永久居住证吗?
好的，谢谢,700,"不客气。,请问还有什么可以帮您？,请问还有什么可以帮您？"
境内的,600,请问与会人员有一年以上有效境外工作签证或者境外永久居住证吗?
国内产品,500,您可以联系到一位与您有业务往来的已经办理好境外采购商证的境外客商，您在他的陪伴下到广交会现场去办理一个收费的采购代表证进馆。收费标准为300RMB/人/天 50元工本费。办证资料：1、第二代身份证原件及复印件 2、名片 3、蓝/白底相片5厘米x4厘米的个人近期证件彩照 （1名外商只可以陪同2名境内人士办证）
好的谢谢,300,"不客气。,请问还有什么可以帮您？,请问还有什么可以帮您？"
国内的,300,请问您方便提供贵司公司名称吗？
没有了谢谢,200,"""不客气,"",请您稍后对本次服务进行评价，感谢您使用广交会网上客服，祝您生活愉快！再见！,请您稍后对本次服务进行评价，感谢您使用广交会网上客服，祝您生活愉快！再见！"
还有其他方式吗,200,"抱歉，这是最适合您办的证件。,您好！工号70424很高兴为您服务/Hello! NO.70424 is at your service. ,您好！工号70424很高兴为您服务/Hello! NO.70424 is at your service. "
都想参观,200,请问您方便提供贵司公司名称吗？
一个采购商证可以帮两个境内人士办理采购商代表证对吧？,200,您好，若是已经办理境外采购商证的客商，是可以陪同两名境内人士办证的。
这两位境内人士办证需要什么材料？,200,您好，若是需要在已经办理好境外采购商证的客商陪同下到广交会现场去办理一个收费的采购代表证进馆。收费标准为300RMB/人/天 50元工本费。办证资料：1、第二代身份证原件及复印件 2、名片 3、蓝/白底相片5厘米x4厘米的个人近期证件彩照 （1名外商只可以陪同2名境内人士办证）
好的，谢谢！,200,不客气。
采购商,200,请问您是指采购商电子服务平台吗？
我是境内的为什么需要境外的证件？,200,好的。请问您想参观采购国内产品还是国外产品？
都有可能,200,好的。请问您方便提供贵司公司名称吗？
中山富达运动器材有限公司,200,好的，根据您的情况。您可以联系到一位与您有业务往来的已经办理好境外采购商证的境外客商，您在他的陪伴下到广交会现场去办理一个收费的采购代表证进馆。收费标准为300RMB/人/天 50元工本费。办证资料：1、第二代身份证原件 2、名片 3、蓝/白底相片5厘米x4厘米的个人近期证件彩照 （1名外商只可以陪同2名境内人士办证）
"客户是老外，还有两个中国人,相当于翻译吧,相当于翻译吧,这么理解吧,这么理解吧",200,请问您的客户已经办理好境外采购商证了吗？
"恩,是的,是的",200,请问两名中国客户有一年以上有效境外工作签证或者境外永久居住证吗?
洛阳今丰,200,请问是有限公司形式吗？
一个外商可以带几个,200,1名外商只可以陪同2名境内人士办证 
"好的,市民怎么申请参观？,市民怎么申请参观？",200,请问您是想要参观哪个展会呢？
